SEXO;GRUPO_EDAD1;MES;Muertes
Masculino;29;5;1
Masculino;29;10;2
Masculino;29;12;1
Femenino;0;1;12
Femenino;0;2;13
Femenino;0;3;5
Femenino;0;4;4
Femenino;0;5;13
Femenino;0;6;11
Femenino;0;7;13
Femenino;0;8;12
Femenino;0;9;13
Femenino;0;10;11
Femenino;0;11;10
Femenino;0;12;14
Femenino;1;1;27
Femenino;1;2;32
Femenino;1;3;45
Femenino;1;4;26
Femenino;1;5;35
Femenino;1;6;34
Femenino;1;7;30
Femenino;1;8;31
Femenino;1;9;40
Femenino;1;10;41
Femenino;1;11;31
Femenino;1;12;43
Femenino;2;1;64
Femenino;2;2;60
Femenino;2;3;62
Femenino;2;4;61
Femenino;2;5;55
Femenino;2;6;54
Femenino;2;7;70
Femenino;2;8;46
Femenino;2;9;78
Femenino;2;10;48
Femenino;2;11;50
Femenino;2;12;54
Femenino;3;1;45
Femenino;3;2;44
Femenino;3;3;54
Femenino;3;4;65
Femenino;3;5;58
Femenino;3;6;47
Femenino;3;7;62
Femenino;3;8;48
Femenino;3;9;61
Femenino;3;10;59
Femenino;3;11;53
Femenino;3;12;44
Femenino;4;1;4
Femenino;4;2;3
Femenino;4;3;1
Femenino;4;5;3
Femenino;4;6;2
Femenino;4;7;2
Femenino;4;8;5
Femenino;4;9;1
Femenino;4;10;1
Femenino;4;11;5
Femenino;4;12;6
Femenino;5;1;64
Femenino;5;2;62
Femenino;5;3;81
Femenino;5;4;66
Femenino;5;5;76
Femenino;5;6;69
Femenino;5;7;65
Femenino;5;8;60
Femenino;5;9;59
Femenino;5;10;53
Femenino;5;11;74
Femenino;5;12;69
Femenino;6;1;30
Femenino;6;2;27
Femenino;6;3;30
Femenino;6;4;31
Femenino;6;5;51
Femenino;6;6;44
Femenino;6;7;40
Femenino;6;8;37
Femenino;6;9;30
Femenino;6;10;41
Femenino;6;11;35
Femenino;6;12;24
Femenino;7;1;20
Femenino;7;2;25
Femenino;7;3;33
Femenino;7;4;34
Femenino;7;5;28
Femenino;7;6;29
Femenino;7;7;35
Femenino;7;8;21
Femenino;7;9;27
Femenino;7;10;26
Femenino;7;11;24
Femenino;7;12;42
Femenino;8;1;27
Femenino;8;2;26
Femenino;8;3;29
Femenino;8;4;17
Femenino;8;5;35
Femenino;8;6;32
Femenino;8;7;39
Femenino;8;8;27
Femenino;8;9;29
Femenino;8;10;35
Femenino;8;11;34
Femenino;8;12;34
Femenino;9;1;22
Femenino;9;2;28
Femenino;9;3;33
Femenino;9;4;33
Femenino;9;5;40
Femenino;9;6;28
Femenino;9;7;23
Femenino;9;8;34
Femenino;9;9;31
Femenino;9;10;36
Femenino;9;11;35
Femenino;9;12;26
Femenino;10;1;48
Femenino;10;2;32
Femenino;10;3;29
Femenino;10;4;34
Femenino;10;5;38
Femenino;10;6;37
Femenino;10;7;44
Femenino;10;8;36
Femenino;10;9;30
Femenino;10;10;49
Femenino;10;11;48
Femenino;10;12;49
Femenino;11;1;70
Femenino;11;2;75
Femenino;11;3;81
Femenino;11;4;80
Femenino;11;5;91
Femenino;11;6;81
Femenino;11;7;70
Femenino;11;8;88
Femenino;11;9;67
Femenino;11;10;68
Femenino;11;11;63
Femenino;11;12;80
Femenino;12;1;77
Femenino;12;2;89
Femenino;12;3;95
Femenino;12;4;102
Femenino;12;5;85
Femenino;12;6;96
Femenino;12;7;103
Femenino;12;8;87
Femenino;12;9;96
Femenino;12;10;113
Femenino;12;11;94
Femenino;12;12;114
Femenino;13;1;94
Femenino;13;2;105
Femenino;13;3;98
Femenino;13;4;99
Femenino;13;5;123
Femenino;13;6;99
Femenino;13;7;120
Femenino;13;8;129
Femenino;13;9;91
Femenino;13;10;103
Femenino;13;11;109
Femenino;13;12;122
Femenino;14;1;133
Femenino;14;2;125
Femenino;14;3;115
Femenino;14;4;106
Femenino;14;5;128
Femenino;14;6;110
Femenino;14;7;125
Femenino;14;8;131
Femenino;14;9;143
Femenino;14;10;112
Femenino;14;11;106
Femenino;14;12;126
Femenino;15;1;182
Femenino;15;2;128
Femenino;15;3;148
Femenino;15;4;137
Femenino;15;5;153
Femenino;15;6;124
Femenino;15;7;142
Femenino;15;8;148
Femenino;15;9;168
Femenino;15;10;151
Femenino;15;11;152
Femenino;15;12;140
Femenino;16;1;179
Femenino;16;2;147
Femenino;16;3;174
Femenino;16;4;201
Femenino;16;5;199
Femenino;16;6;198
Femenino;16;7;204
Femenino;16;8;193
Femenino;16;9;179
Femenino;16;10;168
Femenino;16;11;179
Femenino;16;12;192
Femenino;17;1;248
Femenino;17;2;218
Femenino;17;3;216
Femenino;17;4;241
Femenino;17;5;222
Femenino;17;6;243
Femenino;17;7;255
Femenino;17;8;241
Femenino;17;9;226
Femenino;17;10;251
Femenino;17;11;228
Femenino;17;12;249
Femenino;18;1;298
Femenino;18;2;282
Femenino;18;3;314
Femenino;18;4;312
Femenino;18;5;322
Femenino;18;6;343
Femenino;18;7;374
Femenino;18;8;314
Femenino;18;9;317
Femenino;18;10;361
Femenino;18;11;319
Femenino;18;12;325
Femenino;19;1;450
Femenino;19;2;405
Femenino;19;3;434
Femenino;19;4;386
Femenino;19;5;456
Femenino;19;6;452
Femenino;19;7;468
Femenino;19;8;474
Femenino;19;9;461
Femenino;19;10;454
Femenino;19;11;464
Femenino;19;12;444
Femenino;20;1;578
Femenino;20;2;487
Femenino;20;3;585
Femenino;20;4;552
Femenino;20;5;574
Femenino;20;6;590
Femenino;20;7;599
Femenino;20;8;584
Femenino;20;9;541
Femenino;20;10;588
Femenino;20;11;607
Femenino;20;12;617
Femenino;21;1;737
Femenino;21;2;637
Femenino;21;3;706
Femenino;21;4;627
Femenino;21;5;730
Femenino;21;6;675
Femenino;21;7;743
Femenino;21;8;736
Femenino;21;9;623
Femenino;21;10;711
Femenino;21;11;716
Femenino;21;12;708
Femenino;22;1;820
Femenino;22;2;759
Femenino;22;3;762
Femenino;22;4;767
Femenino;22;5;789
Femenino;22;6;815
Femenino;22;7;827
Femenino;22;8;882
Femenino;22;9;817
Femenino;22;10;827
Femenino;22;11;788
Femenino;22;12;901
Femenino;23;1;1031
Femenino;23;2;875
Femenino;23;3;957
Femenino;23;4;963
Femenino;23;5;965
Femenino;23;6;1042
Femenino;23;7;1035
Femenino;23;8;1087
