COD_MUNICIPIO;MES;SEXO;Muertes;MUNICIPIO
1;5;Masculino;448;CALI
1;5;Masculino;448;MITÚ
1;5;Masculino;448;PUERTO CARREÑO
1;5;Femenino;50;LETICIA
1;5;Femenino;50;MEDELLÍN
1;5;Femenino;50;ARAUCA
1;5;Femenino;50;SAN ANDRÉS
1;5;Femenino;50;BARRANQUILLA
1;5;Femenino;50;BOGOTÁ, D.C.
1;5;Femenino;50;TUNJA
1;5;Femenino;50;MANIZALES
1;5;Femenino;50;FLORENCIA
1;5;Femenino;50;CARTAGENA DE INDIAS
1;5;Femenino;50;YOPAL
1;5;Femenino;50;POPAYÁN
1;5;Femenino;50;VALLEDUPAR
1;5;Femenino;50;QUIBDÓ
1;5;Femenino;50;MONTERÍA
1;5;Femenino;50;AGUA DE DIOS
1;5;Femenino;50;INÍRIDA
1;5;Femenino;50;SAN JOSÉ DEL GUAVIARE
1;5;Femenino;50;NEIVA
1;5;Femenino;50;RIOHACHA
1;5;Femenino;50;VILLAVICENCIO
1;5;Femenino;50;PASTO
1;5;Femenino;50;CÚCUTA
1;5;Femenino;50;MOCOA
1;5;Femenino;50;ARMENIA
1;5;Femenino;50;PEREIRA
1;5;Femenino;50;SANTA MARTA
1;5;Femenino;50;BUCARAMANGA
1;5;Femenino;50;SINCELEJO
1;5;Femenino;50;IBAGUÉ
1;5;Femenino;50;CALI
1;5;Femenino;50;MITÚ
1;5;Femenino;50;PUERTO CARREÑO
1;6;Masculino;417;LETICIA
1;6;Masculino;417;MEDELLÍN
1;6;Masculino;417;ARAUCA
1;6;Masculino;417;SAN ANDRÉS
1;6;Masculino;417;BARRANQUILLA
1;6;Masculino;417;BOGOTÁ, D.C.
1;6;Masculino;417;TUNJA
1;6;Masculino;417;MANIZALES
1;6;Masculino;417;FLORENCIA
1;6;Masculino;417;CARTAGENA DE INDIAS
1;6;Masculino;417;YOPAL
1;6;Masculino;417;POPAYÁN
1;6;Masculino;417;VALLEDUPAR
1;6;Masculino;417;QUIBDÓ
1;6;Masculino;417;MONTERÍA
1;6;Masculino;417;AGUA DE DIOS
1;6;Masculino;417;INÍRIDA
1;6;Masculino;417;SAN JOSÉ DEL GUAVIARE
1;6;Masculino;417;NEIVA
1;6;Masculino;417;RIOHACHA
1;6;Masculino;417;VILLAVICENCIO
1;6;Masculino;417;PASTO
1;6;Masculino;417;CÚCUTA
1;6;Masculino;417;MOCOA
1;6;Masculino;417;ARMENIA
1;6;Masculino;417;PEREIRA
1;6;Masculino;417;SANTA MARTA
1;6;Masculino;417;BUCARAMANGA
1;6;Masculino;417;SINCELEJO
1;6;Masculino;417;IBAGUÉ
1;6;Masculino;417;CALI
1;6;Masculino;417;MITÚ
1;6;Masculino;417;PUERTO CARREÑO
1;6;Femenino;35;LETICIA
1;6;Femenino;35;MEDELLÍN
1;6;Femenino;35;ARAUCA
1;6;Femenino;35;SAN ANDRÉS
1;6;Femenino;35;BARRANQUILLA
1;6;Femenino;35;BOGOTÁ, D.C.
1;6;Femenino;35;TUNJA
1;6;Femenino;35;MANIZALES
1;6;Femenino;35;FLORENCIA
1;6;Femenino;35;CARTAGENA DE INDIAS
1;6;Femenino;35;YOPAL
1;6;Femenino;35;POPAYÁN
1;6;Femenino;35;VALLEDUPAR
1;6;Femenino;35;QUIBDÓ
1;6;Femenino;35;MONTERÍA
1;6;Femenino;35;AGUA DE DIOS
1;6;Femenino;35;INÍRIDA
1;6;Femenino;35;SAN JOSÉ DEL GUAVIARE
1;6;Femenino;35;NEIVA
1;6;Femenino;35;RIOHACHA
1;6;Femenino;35;VILLAVICENCIO
1;6;Femenino;35;PASTO
1;6;Femenino;35;CÚCUTA
1;6;Femenino;35;MOCOA
1;6;Femenino;35;ARMENIA
1;6;Femenino;35;PEREIRA
1;6;Femenino;35;SANTA MARTA
1;6;Femenino;35;BUCARAMANGA
1;6;Femenino;35;SINCELEJO
1;6;Femenino;35;IBAGUÉ
1;6;Femenino;35;CALI
1;6;Femenino;35;MITÚ
1;6;Femenino;35;PUERTO CARREÑO
1;7;Masculino;389;LETICIA
1;7;Masculino;389;MEDELLÍN
1;7;Masculino;389;ARAUCA
1;7;Masculino;389;SAN ANDRÉS
1;7;Masculino;389;BARRANQUILLA
1;7;Masculino;389;BOGOTÁ, D.C.
1;7;Masculino;389;TUNJA
1;7;Masculino;389;MANIZALES
1;7;Masculino;389;FLORENCIA
1;7;Masculino;389;CARTAGENA DE INDIAS
1;7;Masculino;389;YOPAL
1;7;Masculino;389;POPAYÁN
1;7;Masculino;389;VALLEDUPAR
1;7;Masculino;389;QUIBDÓ
1;7;Masculino;389;MONTERÍA
1;7;Masculino;389;AGUA DE DIOS
1;7;Masculino;389;INÍRIDA
1;7;Masculino;389;SAN JOSÉ DEL GUAVIARE
1;7;Masculino;389;NEIVA
1;7;Masculino;389;RIOHACHA
1;7;Masculino;389;VILLAVICENCIO
1;7;Masculino;389;PASTO
1;7;Masculino;389;CÚCUTA
1;7;Masculino;389;MOCOA
1;7;Masculino;389;ARMENIA
1;7;Masculino;389;PEREIRA
1;7;Masculino;389;SANTA MARTA
1;7;Masculino;389;BUCARAMANGA
1;7;Masculino;389;SINCELEJO
1;7;Masculino;389;IBAGUÉ
1;7;Masculino;389;CALI
1;7;Masculino;389;MITÚ
1;7;Masculino;389;PUERTO CARREÑO
1;7;Femenino;27;LETICIA
1;7;Femenino;27;MEDELLÍN
1;7;Femenino;27;ARAUCA
1;7;Femenino;27;SAN ANDRÉS
1;7;Femenino;27;BARRANQUILLA
1;7;Femenino;27;BOGOTÁ, D.C.
1;7;Femenino;27;TUNJA
1;7;Femenino;27;MANIZALES
1;7;Femenino;27;FLORENCIA
1;7;Femenino;27;CARTAGENA DE INDIAS
1;7;Femenino;27;YOPAL
1;7;Femenino;27;POPAYÁN
1;7;Femenino;27;VALLEDUPAR
1;7;Femenino;27;QUIBDÓ
1;7;Femenino;27;MONTERÍA
1;7;Femenino;27;AGUA DE DIOS
1;7;Femenino;27;INÍRIDA
1;7;Femenino;27;SAN JOSÉ DEL GUAVIARE
1;7;Femenino;27;NEIVA
1;7;Femenino;27;RIOHACHA
1;7;Femenino;27;VILLAVICENCIO
1;7;Femenino;27;PASTO
1;7;Femenino;27;CÚCUTA
1;7;Femenino;27;MOCOA
1;7;Femenino;27;ARMENIA
1;7;Femenino;27;PEREIRA
1;7;Femenino;27;SANTA MARTA
1;7;Femenino;27;BUCARAMANGA
1;7;Femenino;27;SINCELEJO
1;7;Femenino;27;IBAGUÉ
1;7;Femenino;27;CALI
1;7;Femenino;27;MITÚ
1;7;Femenino;27;PUERTO CARREÑO
1;8;Masculino;431;LETICIA
1;8;Masculino;431;MEDELLÍN
1;8;Masculino;431;ARAUCA
1;8;Masculino;431;SAN ANDRÉS
1;8;Masculino;431;BARRANQUILLA
1;8;Masculino;431;BOGOTÁ, D.C.
1;8;Masculino;431;TUNJA
1;8;Masculino;431;MANIZALES
1;8;Masculino;431;FLORENCIA
1;8;Masculino;431;CARTAGENA DE INDIAS
1;8;Masculino;431;YOPAL
1;8;Masculino;431;POPAYÁN
1;8;Masculino;431;VALLEDUPAR
1;8;Masculino;431;QUIBDÓ
1;8;Masculino;431;MONTERÍA
1;8;Masculino;431;AGUA DE DIOS
1;8;Masculino;431;INÍRIDA
1;8;Masculino;431;SAN JOSÉ DEL GUAVIARE
1;8;Masculino;431;NEIVA
1;8;Masculino;431;RIOHACHA
1;8;Masculino;431;VILLAVICENCIO
1;8;Masculino;431;PASTO
1;8;Masculino;431;CÚCUTA
1;8;Masculino;431;MOCOA
1;8;Masculino;431;ARMENIA
1;8;Masculino;431;PEREIRA
1;8;Masculino;431;SANTA MARTA
1;8;Masculino;431;BUCARAMANGA
1;8;Masculino;431;SINCELEJO
1;8;Masculino;431;IBAGUÉ
1;8;Masculino;431;CALI
1;8;Masculino;431;MITÚ
1;8;Masculino;431;PUERTO CARREÑO
1;8;Femenino;49;LETICIA
1;8;Femenino;49;MEDELLÍN
1;8;Femenino;49;ARAUCA
1;8;Femenino;49;SAN ANDRÉS
1;8;Femenino;49;BARRANQUILLA
1;8;Femenino;49;BOGOTÁ, D.C.
1;8;Femenino;49;TUNJA
1;8;Femenino;49;MANIZALES
1;8;Femenino;49;FLORENCIA
1;8;Femenino;49;CARTAGENA DE INDIAS
1;8;Femenino;49;YOPAL
1;8;Femenino;49;POPAYÁN
1;8;Femenino;49;VALLEDUPAR
1;8;Femenino;49;QUIBDÓ
1;8;Femenino;49;MONTERÍA
1;8;Femenino;49;AGUA DE DIOS
1;8;Femenino;49;INÍRIDA
1;8;Femenino;49;SAN JOSÉ DEL GUAVIARE
1;8;Femenino;49;NEIVA
1;8;Femenino;49;RIOHACHA
1;8;Femenino;49;VILLAVICENCIO
1;8;Femenino;49;PASTO
1;8;Femenino;49;CÚCUTA
1;8;Femenino;49;MOCOA
1;8;Femenino;49;ARMENIA
1;8;Femenino;49;PEREIRA
1;8;Femenino;49;SANTA MARTA
1;8;Femenino;49;BUCARAMANGA
1;8;Femenino;49;SINCELEJO
1;8;Femenino;49;IBAGUÉ
1;8;Femenino;49;CALI
1;8;Femenino;49;MITÚ
1;8;Femenino;49;PUERTO CARREÑO
1;8;No Definido;2;LETICIA
1;8;No Definido;2;MEDELLÍN
1;8;No Definido;2;ARAUCA
1;8;No Definido;2;SAN ANDRÉS
1;8;No Definido;2;BARRANQUILLA
1;8;No Definido;2;BOGOTÁ, D.C.
1;8;No Definido;2;TUNJA
1;8;No Definido;2;MANIZALES
1;8;No Definido;2;FLORENCIA
1;8;No Definido;2;CARTAGENA DE INDIAS
1;8;No Definido;2;YOPAL
1;8;No Definido;2;POPAYÁN
1;8;No Definido;2;VALLEDUPAR
1;8;No Definido;2;QUIBDÓ
1;8;No Definido;2;MONTERÍA
1;8;No Definido;2;AGUA DE DIOS
1;8;No Definido;2;INÍRIDA
1;8;No Definido;2;SAN JOSÉ DEL GUAVIARE
1;8;No Definido;2;NEIVA
1;8;No Definido;2;RIOHACHA
1;8;No Definido;2;VILLAVICENCIO
1;8;No Definido;2;PASTO
1;8;No Definido;2;CÚCUTA
1;8;No Definido;2;MOCOA
1;8;No Definido;2;ARMENIA
1;8;No Definido;2;PEREIRA
1;8;No Definido;2;SANTA MARTA
1;8;No Definido;2;BUCARAMANGA
1;8;No Definido;2;SINCELEJO
1;8;No Definido;2;IBAGUÉ
1;8;No Definido;2;CALI
1;8;No Definido;2;MITÚ
1;8;No Definido;2;PUERTO CARREÑO
1;9;Masculino;401;LETICIA
1;9;Masculino;401;MEDELLÍN
1;9;Masculino;401;ARAUCA
1;9;Masculino;401;SAN ANDRÉS
1;9;Masculino;401;BARRANQUILLA
1;9;Masculino;401;BOGOTÁ, D.C.
1;9;Masculino;401;TUNJA
1;9;Masculino;401;MANIZALES
1;9;Masculino;401;FLORENCIA
1;9;Masculino;401;CARTAGENA DE INDIAS
1;9;Masculino;401;YOPAL
1;9;Masculino;401;POPAYÁN
1;9;Masculino;401;VALLEDUPAR
1;9;Masculino;401;QUIBDÓ
1;9;Masculino;401;MONTERÍA
1;9;Masculino;401;AGUA DE DIOS
1;9;Masculino;401;INÍRIDA
1;9;Masculino;401;SAN JOSÉ DEL GUAVIARE
1;9;Masculino;401;NEIVA
1;9;Masculino;401;RIOHACHA
1;9;Masculino;401;VILLAVICENCIO
1;9;Masculino;401;PASTO
1;9;Masculino;401;CÚCUTA
1;9;Masculino;401;MOCOA
1;9;Masculino;401;ARMENIA
1;9;Masculino;401;PEREIRA
1;9;Masculino;401;SANTA MARTA
1;9;Masculino;401;BUCARAMANGA
1;9;Masculino;401;SINCELEJO
1;9;Masculino;401;IBAGUÉ
1;9;Masculino;401;CALI
1;9;Masculino;401;MITÚ
1;9;Masculino;401;PUERTO CARREÑO
1;9;Femenino;45;LETICIA
1;9;Femenino;45;MEDELLÍN
1;9;Femenino;45;ARAUCA
1;9;Femenino;45;SAN ANDRÉS
1;9;Femenino;45;BARRANQUILLA
1;9;Femenino;45;BOGOTÁ, D.C.
1;9;Femenino;45;TUNJA
1;9;Femenino;45;MANIZALES
1;9;Femenino;45;FLORENCIA
1;9;Femenino;45;CARTAGENA DE INDIAS
1;9;Femenino;45;YOPAL
1;9;Femenino;45;POPAYÁN
1;9;Femenino;45;VALLEDUPAR
1;9;Femenino;45;QUIBDÓ
1;9;Femenino;45;MONTERÍA
1;9;Femenino;45;AGUA DE DIOS
1;9;Femenino;45;INÍRIDA
1;9;Femenino;45;SAN JOSÉ DEL GUAVIARE
1;9;Femenino;45;NEIVA
1;9;Femenino;45;RIOHACHA
1;9;Femenino;45;VILLAVICENCIO
1;9;Femenino;45;PASTO
1;9;Femenino;45;CÚCUTA
1;9;Femenino;45;MOCOA
1;9;Femenino;45;ARMENIA
1;9;Femenino;45;PEREIRA
1;9;Femenino;45;SANTA MARTA
1;9;Femenino;45;BUCARAMANGA
1;9;Femenino;45;SINCELEJO
1;9;Femenino;45;IBAGUÉ
1;9;Femenino;45;CALI
1;9;Femenino;45;MITÚ
1;9;Femenino;45;PUERTO CARREÑO
1;10;Masculino;377;LETICIA
1;10;Masculino;377;MEDELLÍN
1;10;Masculino;377;ARAUCA
1;10;Masculino;377;SAN ANDRÉS
1;10;Masculino;377;BARRANQUILLA
1;10;Masculino;377;BOGOTÁ, D.C.
1;10;Masculino;377;TUNJA
1;10;Masculino;377;MANIZALES
1;10;Masculino;377;FLORENCIA
1;10;Masculino;377;CARTAGENA DE INDIAS
